algo,temps,size
mergesort, 0.000169,1000
mergesort, 0.000167,1000
mergesort, 0.000169,1000
mergesort, 0.000213,1000
mergesort, 0.000215,1000
mergesort, 0.000271,1000
mergesort, 0.000188,1000
mergesort, 0.000272,1000
mergesort, 0.000174,1000
mergesort, 0.000158,1000
mergesort, 0.000198,1100
mergesort, 0.000257,1100
mergesort, 0.000278,1100
mergesort, 0.000331,1100
mergesort, 0.000208,1100
mergesort, 0.000098,1100
mergesort, 0.000157,1100
mergesort, 0.000221,1100
mergesort, 0.000305,1100
mergesort, 0.000209,1100
mergesort, 0.000157,1200
mergesort, 0.000227,1200
mergesort, 0.000305,1200
mergesort, 0.000182,1200
mergesort, 0.000281,1200
mergesort, 0.000345,1200
mergesort, 0.000165,1200
mergesort, 0.000246,1200
mergesort, 0.000224,1200
mergesort, 0.000328,1200
mergesort, 0.000216,1300
mergesort, 0.000336,1300
mergesort, 0.000146,1300
mergesort, 0.000216,1300
mergesort, 0.000285,1300
mergesort, 0.000388,1300
mergesort, 0.000155,1300
mergesort, 0.000156,1300
mergesort, 0.000251,1300
mergesort, 0.000328,1300
mergesort, 0.000416,1400
mergesort, 0.000300,1400
mergesort, 0.000377,1400
mergesort, 0.000145,1400
mergesort, 0.000209,1400
mergesort, 0.000259,1400
mergesort, 0.000343,1400
mergesort, 0.000415,1400
mergesort, 0.000329,1400
mergesort, 0.000145,1400
mergesort, 0.000212,1500
mergesort, 0.000246,1500
mergesort, 0.000370,1500
mergesort, 0.000454,1500
mergesort, 0.000327,1500
mergesort, 0.000378,1500
mergesort, 0.000154,1500
mergesort, 0.000222,1500
mergesort, 0.000289,1500
mergesort, 0.000371,1500
mergesort, 0.000426,1600
mergesort, 0.000431,1600
mergesort, 0.000304,1600
mergesort, 0.000164,1600
mergesort, 0.000270,1600
mergesort, 0.000418,1600
mergesort, 0.000442,1600
mergesort, 0.000431,1600
mergesort, 0.000163,1600
mergesort, 0.000224,1600
mergesort, 0.000359,1700
mergesort, 0.000469,1700
mergesort, 0.000520,1700
mergesort, 0.000203,1700
mergesort, 0.000180,1700
mergesort, 0.000279,1700
mergesort, 0.000295,1700
mergesort, 0.000385,1700
mergesort, 0.000481,1700
mergesort, 0.000398,1700
mergesort, 0.000183,1800
mergesort, 0.000239,1800
mergesort, 0.000353,1800
mergesort, 0.000507,1800
mergesort, 0.000449,1800
mergesort, 0.000430,1800
mergesort, 0.000183,1800
mergesort, 0.000211,1800
mergesort, 0.000212,1800
mergesort, 0.000212,1800
mergesort, 0.000225,1900
mergesort, 0.000442,1900
mergesort, 0.000282,1900
mergesort, 0.000208,1900
mergesort, 0.000251,1900
mergesort, 0.000245,1900
mergesort, 0.000244,1900
mergesort, 0.000248,1900
mergesort, 0.000383,1900
mergesort, 0.000467,1900
mergesort, 0.000208,2000
mergesort, 0.000206,2000
mergesort, 0.000452,2000
mergesort, 0.000604,2000
mergesort, 0.000409,2000
mergesort, 0.000170,2000
mergesort, 0.000176,2000
mergesort, 0.000285,2000
mergesort, 0.000392,2000
mergesort, 0.000500,2000
mergesort, 0.000225,2100
mergesort, 0.000304,2100
mergesort, 0.000236,2100
mergesort, 0.000356,2100
mergesort, 0.000345,2100
mergesort, 0.000343,2100
mergesort, 0.000547,2100
mergesort, 0.000231,2100
mergesort, 0.000348,2100
mergesort, 0.000396,2100
mergesort, 0.000451,2200
mergesort, 0.000612,2200
mergesort, 0.000625,2200
mergesort, 0.000193,2200
mergesort, 0.000233,2200
mergesort, 0.000399,2200
mergesort, 0.000520,2200
mergesort, 0.000532,2200
mergesort, 0.000527,2200
mergesort, 0.000376,2200
mergesort, 0.000244,2300
mergesort, 0.000245,2300
mergesort, 0.000321,2300
mergesort, 0.000396,2300
mergesort, 0.000553,2300
mergesort, 0.000649,2300
mergesort, 0.000207,2300
mergesort, 0.000241,2300
mergesort, 0.000410,2300
mergesort, 0.000591,2300
mergesort, 0.000630,2400
mergesort, 0.000694,2400
mergesort, 0.000256,2400
mergesort, 0.000254,2400
mergesort, 0.000388,2400
mergesort, 0.000566,2400
mergesort, 0.000759,2400
mergesort, 0.000529,2400
mergesort, 0.000312,2400
mergesort, 0.000321,2400
mergesort, 0.000338,2500
mergesort, 0.000514,2500
mergesort, 0.000705,2500
mergesort, 0.000475,2500
mergesort, 0.000432,2500
mergesort, 0.000264,2500
mergesort, 0.000265,2500
mergesort, 0.000270,2500
mergesort, 0.000433,2500
mergesort, 0.000709,2500
mergesort, 0.000514,2600
mergesort, 0.000384,2600
mergesort, 0.000389,2600
mergesort, 0.000384,2600
mergesort, 0.000537,2600
mergesort, 0.000678,2600
mergesort, 0.000273,2600
mergesort, 0.000275,2600
mergesort, 0.000429,2600
mergesort, 0.000570,2600
mergesort, 0.000709,2700
mergesort, 0.000647,2700
mergesort, 0.000438,2700
mergesort, 0.000287,2700
mergesort, 0.000423,2700
mergesort, 0.000416,2700
mergesort, 0.000418,2700
mergesort, 0.000611,2700
mergesort, 0.000705,2700
mergesort, 0.000287,2700
mergesort, 0.000360,2800
mergesort, 0.000427,2800
mergesort, 0.000615,2800
mergesort, 0.000583,2800
mergesort, 0.000670,2800
mergesort, 0.000306,2800
mergesort, 0.000313,2800
mergesort, 0.000511,2800
mergesort, 0.000512,2800
mergesort, 0.000716,2800
mergesort, 0.000646,2900
mergesort, 0.000634,2900
mergesort, 0.000313,2900
mergesort, 0.000468,2900
mergesort, 0.000636,2900
mergesort, 0.000914,2900
mergesort, 0.000811,2900
mergesort, 0.000312,2900
mergesort, 0.000309,2900
mergesort, 0.000468,2900
mergesort, 0.000729,3000
mergesort, 0.000845,3000
mergesort, 0.000346,3000
mergesort, 0.000492,3000
mergesort, 0.000511,3000
mergesort, 0.000709,3000
mergesort, 0.000856,3000
mergesort, 0.000766,3000
mergesort, 0.000868,3000
mergesort, 0.000322,3000
mergesort, 0.000531,3100
mergesort, 0.000738,3100
mergesort, 0.000979,3100
mergesort, 0.000984,3100
mergesort, 0.000558,3100
mergesort, 0.000380,3100
mergesort, 0.000701,3100
mergesort, 0.000808,3100
mergesort, 0.000557,3100
mergesort, 0.000741,3100
mergesort, 0.000339,3200
mergesort, 0.000531,3200
mergesort, 0.000716,3200
mergesort, 0.001107,3200
mergesort, 0.000327,3200
mergesort, 0.000522,3200
mergesort, 0.000547,3200
mergesort, 0.000826,3200
mergesort, 0.001111,3200
mergesort, 0.001002,3200
mergesort, 0.000307,3300
mergesort, 0.000336,3300
mergesort, 0.000333,3300
mergesort, 0.000313,3300
mergesort, 0.000339,3300
mergesort, 0.000335,3300
mergesort, 0.000287,3300
mergesort, 0.000307,3300
mergesort, 0.000337,3300
mergesort, 0.000349,3300
mergesort, 0.000360,3400
mergesort, 0.000561,3400
mergesort, 0.000670,3400
mergesort, 0.000421,3400
mergesort, 0.000662,3400
mergesort, 0.000707,3400
mergesort, 0.000697,3400
mergesort, 0.000963,3400
mergesort, 0.000711,3400
mergesort, 0.000369,3400
mergesort, 0.000597,3500
mergesort, 0.000779,3500
mergesort, 0.000989,3500
mergesort, 0.000918,3500
mergesort, 0.000375,3500
mergesort, 0.000372,3500
mergesort, 0.000583,3500
mergesort, 0.000734,3500
mergesort, 0.000686,3500
mergesort, 0.000367,3500
mergesort, 0.000424,3600
mergesort, 0.000679,3600
mergesort, 0.000866,3600
mergesort, 0.001019,3600
mergesort, 0.000931,3600
mergesort, 0.000402,3600
mergesort, 0.000388,3600
mergesort, 0.000633,3600
mergesort, 0.000881,3600
mergesort, 0.000982,3600
mergesort, 0.000887,3700
mergesort, 0.000399,3700
mergesort, 0.000501,3700
mergesort, 0.000506,3700
mergesort, 0.000774,3700
mergesort, 0.000958,3700
mergesort, 0.001293,3700
mergesort, 0.000396,3700
mergesort, 0.000398,3700
mergesort, 0.000578,3700
mergesort, 0.000600,3800
mergesort, 0.000596,3800
mergesort, 0.000410,3800
mergesort, 0.000665,3800
mergesort, 0.001001,3800
mergesort, 0.000925,3800
mergesort, 0.001199,3800
mergesort, 0.000444,3800
mergesort, 0.000406,3800
mergesort, 0.000664,3800
mergesort, 0.001120,3900
mergesort, 0.000822,3900
mergesort, 0.000826,3900
mergesort, 0.000421,3900
mergesort, 0.000662,3900
mergesort, 0.000879,3900
mergesort, 0.000942,3900
mergesort, 0.001153,3900
mergesort, 0.000422,3900
mergesort, 0.000594,3900
mergesort, 0.000908,4000
mergesort, 0.000990,4000
mergesort, 0.000854,4000
mergesort, 0.000571,4000
mergesort, 0.000437,4000
mergesort, 0.000715,4000
mergesort, 0.001069,4000
mergesort, 0.001163,4000
mergesort, 0.001160,4000
mergesort, 0.000435,4000
mergesort, 0.000775,4100
mergesort, 0.001075,4100
mergesort, 0.001081,4100
mergesort, 0.001077,4100
mergesort, 0.001263,4100
mergesort, 0.000489,4100
mergesort, 0.000604,4100
mergesort, 0.001199,4100
mergesort, 0.001183,4100
mergesort, 0.001392,4100
mergesort, 0.000497,4200
mergesort, 0.000757,4200
mergesort, 0.000714,4200
mergesort, 0.001026,4200
mergesort, 0.001310,4200
mergesort, 0.000623,4200
mergesort, 0.001018,4200
mergesort, 0.001101,4200
mergesort, 0.000470,4200
mergesort, 0.000653,4200
mergesort, 0.000979,4300
mergesort, 0.001128,4300
mergesort, 0.001123,4300
mergesort, 0.000631,4300
mergesort, 0.000635,4300
mergesort, 0.000826,4300
mergesort, 0.000917,4300
mergesort, 0.001131,4300
mergesort, 0.001051,4300
mergesort, 0.000516,4300
mergesort, 0.000944,4400
mergesort, 0.001250,4400
mergesort, 0.001245,4400
mergesort, 0.000509,4400
mergesort, 0.000834,4400
mergesort, 0.001065,4400
mergesort, 0.001158,4400
mergesort, 0.001170,4400
mergesort, 0.000518,4400
mergesort, 0.000788,4400
mergesort, 0.001089,4500
mergesort, 0.001179,4500
mergesort, 0.000793,4500
mergesort, 0.000899,4500
mergesort, 0.000857,4500
mergesort, 0.001023,4500
mergesort, 0.001184,4500
mergesort, 0.001520,4500
mergesort, 0.000855,4500
mergesort, 0.000523,4500
mergesort, 0.000747,4600
mergesort, 0.001117,4600
mergesort, 0.001336,4600
mergesort, 0.000791,4600
mergesort, 0.000916,4600
mergesort, 0.000543,4600
mergesort, 0.000915,4600
mergesort, 0.000973,4600
mergesort, 0.001316,4600
mergesort, 0.000867,4600
mergesort, 0.000893,4700
mergesort, 0.000549,4700
mergesort, 0.001122,4700
mergesort, 0.001344,4700
mergesort, 0.001453,4700
mergesort, 0.000549,4700
mergesort, 0.000634,4700
mergesort, 0.001009,4700
mergesort, 0.000936,4700
mergesort, 0.001254,4700
mergesort, 0.001496,4800
mergesort, 0.000557,4800
mergesort, 0.000561,4800
mergesort, 0.000556,4800
mergesort, 0.000804,4800
mergesort, 0.001161,4800
mergesort, 0.001357,4800
mergesort, 0.000554,4800
mergesort, 0.000908,4800
mergesort, 0.000904,4800
mergesort, 0.001260,4900
mergesort, 0.001685,4900
mergesort, 0.000880,4900
mergesort, 0.000918,4900
mergesort, 0.001276,4900
mergesort, 0.001073,4900
mergesort, 0.000823,4900
mergesort, 0.001271,4900
mergesort, 0.000720,4900
mergesort, 0.000721,4900
mergesort, 0.001174,5000
mergesort, 0.001543,5000
mergesort, 0.001690,5000
mergesort, 0.000995,5000
mergesort, 0.000593,5000
mergesort, 0.000583,5000
mergesort, 0.000890,5000
mergesort, 0.000886,5000
mergesort, 0.001430,5000
mergesort, 0.001055,5000
